Campaign,Labels,Campaign Daily Budget,Networks,Languages,Bid Strategy Type,Bid Strategy Name,Enhanced CPC,Viewable CPM,Bid Modifier,Start Date,End Date,Ad Schedule,Campaign Type,DSA Website,DSA Language,Tracking template,Custom parameters,Ad Group,Max CPC,Display Network Max CPC,Max CPM,CPA Bid,Max CPC Multiplier,Display Network Max CPC Multiplier,Max CPM Multiplier,Display Network Custom Bid Type,Ad Group Type,Flexible Reach,Headline,Description Line 1,Description Line 2,Display URL,Destination URL,Final URL,Final mobile URL,Device Preference,ID,Location,Keyword,Criterion Type,First page bid,Top of page bid,Quality score,Campaign Status,Ad Group Status,Status,Approval Status,Comment
Builders,,16,Search Partners,en,Manual Cpc,,Enabled,Disabled,,8/27/15,[],[],Search Network only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Active,,,,
Builders,,,,,,,,,,,,,,,,,,Builders,3,0,0.01,0.01,,,,None,Default,Interests and remarketing,,,,,,,,,,,,,,,,Active,Active,,,
Builders,,,,,,,,,,,,,,,,,,Builders,,,,,,,,,,,Insuring Builders,Coverage for Commercial Builders.,Lighthouse Insurance Agency.,lighthouseins.net/builders,,http://info.lighthouseins.net/builders/,,All,,,,,,,,Active,Active,Active,Approved,
Builders,,,,,,,,,,,,,,,,,,Builders,,,,,,,,,,,{KeyWord:Lighthouse Insurance},Specialists in Business Insurance.,Coverage for Commercial Builders.,lighthouseins.net/builders,,http://info.lighthouseins.net/builders/,,All,,,,,,,,Active,Active,Active,Approved,
Builders,,,,,,,,,,,,,,,,,,Builders,,,,,,,,,,,Lighthouse Insurance,Competitive Builder Insurance Rates,Call to Speak with an Agent Today!,lighthouseins.net/builders,,http://info.lighthouseins.net/builders/,,All,,,,,,,,Active,Active,Active,Approved,
Builders,,,,,,,,,,,,,,,,,,Builders,,,,,,,,,,,Insurance for Builders,Low Premiums for Builder Insurance.,Get Affordable Coverage Today!,lighthouseins.net/builders,,http://info.lighthouseins.net/builders/,,All,,,,,,,,Active,Active,Active,Approved,
Builders,,,,,,,,,,,,,,,,,,Builders,,,,,,,,,,,Builders Insurance,Commercial Insurance for Builders.,Call Today for a Quote.,lighthouseins.net/builders,,http://info.lighthouseins.net/builders/,,All,,,,,,,,Active,Active,Active,Approved,
Builders,,,,,,,,,,,,,,,,,,Builders,12,,,,,,,,,,,,,,,,,,,,Builders Insurance,Phrase,4.25,8.9,6,Active,Active,Active,Approved,
Builders,,,,,,,,,,,,,,,,,,Builders,12,,,,,,,,,,,,,,,,,,,,Builders Insurance Agencies,Phrase,1.5,0,6,Active,Active,Active,Approved,
Builders,,,,,,,,,,,,,,,,,,Builders,12,,,,,,,,,,,,,,,,,,,,Builder Insurance,Phrase,1.23,12.1,6,Active,Active,Active,Approved,
Builders,,,,,,,,,,,,,,,,,,Builders,12,,,,,,,,,,,,,,,,,,,,Builder Insurance Broker,Phrase,2.17,3.7,6,Active,Active,Active,Approved,
Builders,,,,,,,,,,,,,,,,,,Builders,12,,,,,,,,,,,,,,,,,,,,Builder Insurance Agencies,Phrase,0.95,0,6,Active,Active,Active,Approved,
Builders,,,,,,,,,,,,,,,,,,Builders,12,,,,,,,,,,,,,,,,,,,,Builders Insurance Cost,Phrase,2.17,3.7,6,Active,Active,Active,Approved,
Builders,,,,,,,,,,,,,,,,,,Builders,12,,,,,,,,,,,,,,,,,,,,Builders Insurance Policies,Phrase,2.17,3.7,6,Active,Active,Active,Approved,
Builders,,,,,,,,,,,,,,,,,,Builders,12,,,,,,,,,,,,,,,,,,,,Builders Insurance Policy,Phrase,1.18,5.64,6,Active,Active,Active,Approved,
Builders,,,,,,,,,,,,,,,,,,Builders,12,,,,,,,,,,,,,,,,,,,,Builder Insurance Brokers,Phrase,1.25,0,6,Active,Active,Active,Approved,
Builders,,,,,,,,,,,,,,,,,,Builders,12,,,,,,,,,,,,,,,,,,,,Builder Insurance Coverage,Phrase,1.25,0,6,Active,Active,Active,Approved,
Builders,,,,,,,,,,,,,,,,,,Builders,12,,,,,,,,,,,,,,,,,,,,Builder Insurance Policies,Phrase,0.7,0,6,Active,Active,Active,Approved,
Builders,,,,,,,,,,,,,,,,,,Builders,12,,,,,,,,,,,,,,,,,,,,Builder Insurance Policy,Phrase,2.17,3.7,6,Active,Active,Active,Approved,
Builders,,,,,,,,,,,,,,,,,,Builders,12,,,,,,,,,,,,,,,,,,,,Builders Insurance Broker,Phrase,2.17,3.7,6,Active,Active,Active,Approved,
Builders,,,,,,,,,,,,,,,,,,Builders,12,,,,,,,,,,,,,,,,,,,,Builders Insurance Brokers,Phrase,2.17,3.7,6,Active,Active,Active,Approved,
Builders,,,,,,,,,,,,,,,,,,Builders,12,,,,,,,,,,,,,,,,,,,,Builders Insurance Coverage,Phrase,1.75,0,6,Active,Active,Active,Approved,
Builders,,,,,,,,,,,,,,,,,,Builders,12,,,,,,,,,,,,,,,,,,,,Builders Insurance Quote,Phrase,2.17,3.7,6,Active,Active,Active,Approved,
Builders,,,,,,,,,,,,,,,,,,Builders,12,,,,,,,,,,,,,,,,,,,,Builder Insurance Quote,Phrase,2.17,3.7,6,Active,Active,Active,Approved,
Builders,,,,,,,,,,,,,,,,,,Builders,12,,,,,,,,,,,,,,,,,,,,Builders Insurance Agency,Phrase,1.75,0,6,Active,Active,Active,Approved,
Builders,,,,,,,,,,,,,,,,,,Builders,12,,,,,,,,,,,,,,,,,,,,Builder Insurance Agency,Phrase,1.25,0,6,Active,Active,Active,Approved,
Builders,,,,,,,,,,,,,,,,,,Builders,12,,,,,,,,,,,,,,,,,,,,Builder Insurance Cost,Phrase,2.17,3.7,6,Active,Active,Active,Approved,
Builders,,,,,,,,,,,,,,,,,,Builders Risk,3,0,0.01,0.01,,,,None,Default,Interests and remarketing,,,,,,,,,,,,,,,,Active,Active,,,
Builders,,,,,,,,,,,,,,,,,,Builders Risk,,,,,,,,,,,Lighthouse Insurance,Commercial Builders Risk Insurance.,Call Today to get a Quote!,lighthouseins.net/builders,,http://info.lighthouseins.net/builders-risk/,,All,,,,,,,,Active,Active,Active,Approved,
Builders,,,,,,,,,,,,,,,,,,Builders Risk,,,,,,,,,,,Builders Risk Insurance,Commercial Builders Risk Insurance.,Call Today to Speak with an Agent!,lighthouseins.net/builders,,http://info.lighthouseins.net/builders-risk/,,All,,,,,,,,Active,Active,Active,Approved,
Builders,,,,,,,,,,,,,,,,,,Builders Risk,,,,,,,,,,,Builders Risk Insurance,Builders Risk Insurance Rates.,Save Money with Low Premiums.,lighthouseins.net/builders,,http://info.lighthouseins.net/builders-risk/,,All,,,,,,,,Active,Active,Active,Approved,
Builders,,,,,,,,,,,,,,,,,,Builders Risk,,,,,,,,,,,{KeyWord:Lighthouse Insurance},Builders Risk Insurance Policies.,Lighthouse Insurance Agency.,lighthouseins.net/builders,,http://info.lighthouseins.net/builders-risk/,,All,,,,,,,,Active,Active,Active,Approved,
Builders,,,,,,,,,,,,,,,,,,Builders Risk,,,,,,,,,,,Lighthouse Insurance,Builders Risk Insurance Policies.,Lighthouse Insurance Agency.,lighthouseins.net/builders,,http://info.lighthouseins.net/builders-risk/,,All,,,,,,,,Active,Active,Active,Approved,
Builders,,,,,,,,,,,,,,,,,,Builders Risk,12,,,,,,,,,,,,,,,,,,,,Builders Risk Coverage,Phrase,1.56,4.58,6,Active,Active,Active,Approved,
Builders,,,,,,,,,,,,,,,,,,Builders Risk,12,,,,,,,,,,,,,,,,,,,,Builders Risk Insurance Coverage,Phrase,5.38,7.43,6,Active,Active,Active,Approved,
Builders,,,,,,,,,,,,,,,,,,Builders Risk,12,,,,,,,,,,,,,,,,,,,,Builders Risk Insurance Quote,Phrase,4.18,7.93,6,Active,Active,Active,Approved,
Builders,,,,,,,,,,,,,,,,,,Builders Risk,12,,,,,,,,,,,,,,,,,,,,Builders Risk Insurance Cost,Phrase,2.54,3.98,6,Active,Active,Active,Approved,
Builders,,,,,,,,,,,,,,,,,,Builders Risk,12,,,,,,,,,,,,,,,,,,,,Builders Risk Insurance Policies,Phrase,2.17,3.7,6,Active,Active,Active,Approved,
Builders,,,,,,,,,,,,,,,,,,Builders Risk,12,,,,,,,,,,,,,,,,,,,,Builders Risk Insurance Agencies,Phrase,1.5,0,6,Active,Active,Active,Approved,
Builders,,,,,,,,,,,,,,,,,,Builders Risk,12,,,,,,,,,,,,,,,,,,,,Builders Risk Insurance Agency,Phrase,2.25,0,6,Active,Active,Active,Approved,
Builders,,,,,,,,,,,,,,,,,,Builders Risk,12,,,,,,,,,,,,,,,,,,,,Builders Risk Insurance Brokers,Phrase,1.25,0,6,Active,Active,Active,Approved,
